CS_number,Seeds_classification
CS76350,Allyl
CS76351,Allyl
CS76352,3OHP
CS76353,Allyl
CS76354,Allyl
CS76355,Allyl
CS76356,Allyl
CS76357,Allyl
CS76358,Allyl
CS76359,OH-But
CS76360,OH-But
CS76361,OH-But
CS76362,OH-But
CS76364,OH-But
CS76365,OH-But
CS76366,OH-But
CS76367,OH-But
CS76368,Allyl
CS76369,Allyl
CS76370,Allyl
CS76371,OH-But
CS76372,OH-But
CS76373,Allyl
CS76374,Allyl
CS76375,Allyl
CS76387,3OHP
CS76388,3OHP
CS76390,3MSO
CS76392,Allyl
CS76394,OH-But
CS76400,4MSO
CS76402,3MSO
CS76403,Allyl
CS76404,Allyl
CS76405,OH-But
CS76406,Allyl
CS76407,OH-But
CS76410,OH-But
CS76411,OH-But
CS76412,OH-But
CS76413,Allyl
CS76414,OH-But
CS76416,Allyl
CS76417,OH-But
CS76418,Allyl
CS76419,Allyl
CS76420,Allyl
CS76421,Allyl
CS76423,OH-But
CS76424,OH-But
CS76425,OH-But
CS76428,4MSO
CS76430,OH-But
CS76431,4MSO
CS76432,OH-But
CS76434,Allyl
CS76435,OH-But
CS76436,OH-But
CS76439,3OHP
CS76440,OH-But
CS76441,Allyl
CS76442,3MSO
CS76444,4MSO
CS76447,3OHP
CS76449,OH-But
CS76450,3MSO
CS76451,OH-But
CS76452,OH-But
CS76453,3OHP
CS76454,3OHP
CS76455,OH-But
CS76457,4MSO
CS76459,4MSO
CS76460,OH-But
CS76462,OH-But
CS76463,Allyl
CS76464,3MSO
CS76467,OH-But
CS76468,OH-But
CS76469,OH-But
CS76470,3OHP
CS76471,Allyl
CS76472,3OHP
CS76474,Allyl
CS76476,3OHP
CS76477,OH-But
CS76478,Allyl
CS76479,Allyl
CS76480,OH-But
CS76481,4MSO
CS76482,3OHP
CS76484,Allyl
CS76485,3OHP
CS76486,OH-But
CS76487,Allyl
CS76488,3MSO
CS76489,4MSO
CS76490,Allyl
CS76491,4MSO
CS76492,Allyl
CS76493,3MSO
CS76496,3OHP
CS76498,4MSO
CS76500,Allyl
CS76512,Allyl
CS76513,Allyl
CS76514,OH-But
CS76518,Allyl
CS76519,Allyl
CS76520,3OHP
CS76524,Allyl
CS76525,4MSO
CS76526,Allyl
CS76528,Allyl
CS76531,Allyl
CS76534,3OHP
CS76538,4MSO
CS76539,OH-But
CS76540,3MSO
CS76541,3OHP
CS76543,3OHP
CS76545,4MSO
CS76546,3OHP
CS76549,3MSO
CS76550,4MSO
CS76551,OH-But
CS76552,Allyl
CS76555,Allyl
CS76557,4MSO
CS76558,3OHP
CS76559,3OHP
CS76562,Allyl
CS76563,3OHP
CS76564,4MSO
CS76566,4MSO
CS76567,Allyl
CS76568,4MSO
CS76569,4MSO
CS76573,4MSO
CS76579,Allyl
CS76581,OH-But
CS76582,3OHP
CS76583,3MSO
CS76584,4MSO
CS76588,3MSO
CS76590,OH-But
CS76591,OH-But
CS76594,Allyl
CS76597,4MSO
CS76599,3OHP
CS76600,4MSO
CS76601,4MSO
CS76603,4MSO
CS76604,3MSO
CS76605,3OHP
CS76606,Allyl
CS76608,3OHP
CS76610,Allyl
CS76611,Allyl
CS76612,Butenyl
CS76615,4MSO
CS76616,Allyl
CS76620,4MSO
CS76621,3OHP
CS76622,3OHP
CS76624,4MSO
CS76625,OH-But
CS76626,3MSO
CS76627,3OHP
CS76628,3OHP
CS76630,Allyl
CS76632,4MSO
CS76635,3OHP
CS76640,OH-But
CS76642,OH-But
CS76644,Allyl
CS76646,Allyl
CS76647,OH-But
CS76648,OH-But
CS76650,OH-But
CS76651,Allyl
CS76652,Allyl
CS76654,Allyl
CS76656,Allyl
CS76659,OH-But
CS76660,Allyl
CS76662,OH-But
CS76663,Allyl
CS76665,Allyl
CS76667,3OHP
CS76668,Allyl
CS76669,Allyl
CS76671,Allyl
CS76672,OH-But
CS76673,OH-But
CS76674,Allyl
CS76675,Allyl
CS76676,Allyl
CS76677,Allyl
CS76678,Allyl
CS76679,Allyl
CS76681,OH-But
CS76682,Allyl
CS76688,Allyl
CS76689,OH-But
CS76690,Allyl
CS76694,OH-But
CS76695,OH-But
CS76697,Allyl
CS76699,Allyl
CS76700,OH-But
CS76701,Allyl
CS76703,OH-But
CS76706,Allyl
CS76711,Allyl
CS76712,OH-But
CS76713,OH-But
CS76714,Allyl
CS76715,Allyl
CS76717,OH-But
CS76718,3OHP
CS76719,OH-But
CS76720,Allyl
CS76721,Allyl
CS76722,Allyl
CS76725,OH-But
CS76726,Allyl
CS76727,3OHP
CS76728,3MSO
CS76730,Allyl
CS76734,OH-But
CS76736,Allyl
CS76738,OH-But
CS76739,Allyl
CS76740,3OHP
CS76741,Allyl
CS76742,OH-But
CS76743,OH-But
CS76744,Allyl
CS76745,Allyl
CS76746,Allyl
CS76747,Allyl
CS76748,Allyl
CS76749,Allyl
CS76750,Allyl
CS76751,Allyl
CS76752,Allyl
CS76754,Allyl
CS76755,Allyl
CS76756,Allyl
CS76757,Allyl
CS76758,Allyl
CS76759,Allyl
CS76760,OH-But
CS76762,Allyl
CS76763,Allyl
CS76764,Allyl
CS76768,Allyl
CS76769,Allyl
CS76770,Allyl
CS76771,OH-But
CS76772,OH-But
CS76774,Allyl
CS76775,OH-But
CS76776,OH-But
CS76777,Allyl
CS76780,OH-But
CS76782,Allyl
CS76784,Allyl
CS76785,Allyl
CS76786,3OHP
CS76787,OH-But
CS76790,OH-But
CS76791,4MSO
CS76792,Allyl
CS76793,OH-But
CS76796,OH-But
CS76802,OH-But
CS76803,Allyl
CS76804,Allyl
CS76805,Allyl
CS76807,Allyl
CS76809,Allyl
CS76811,Allyl
CS76812,3OHP
CS76813,3OHP
CS76814,3OHP
CS76815,3OHP
CS76816,3OHP
CS76817,3OHP
CS76818,3OHP
CS76819,3OHP
CS76820,3OHP
CS76822,3OHP
CS76823,3OHP
CS76824,3OHP
CS76828,Allyl
CS76830,Allyl
CS76831,Allyl
CS76832,OH-But
CS76835,Allyl
CS76836,Allyl
CS76837,Allyl
CS76838,OH-But
CS76840,Allyl
CS76841,3OHP
CS76844,OH-But
CS76845,Allyl
CS76846,Allyl
CS76847,OH-But
CS76848,Allyl
CS76850,Allyl
CS76851,Allyl
CS76853,OH-But
CS76854,OH-But
CS76856,3OHP
CS76857,3OHP
CS76858,OH-But
CS76860,Allyl
CS76862,Allyl
CS76863,4MSO
CS76865,Butenyl
CS76867,OH-But
CS76868,Allyl
CS76869,Allyl
CS76870,Allyl
CS76871,OH-But
CS76873,Allyl
CS76875,4MSO
CS76876,Allyl
CS76877,Allyl
CS76878,OH-But
CS76879,OH-But
CS76880,Allyl
CS76881,Allyl
CS76882,OH-But
CS76883,OH-But
CS76884,Allyl
CS76885,3OHP
CS76886,OH-But
CS76887,Allyl
CS76888,OH-But
CS76890,OH-But
CS76891,Allyl
CS76894,OH-But
CS76896,Allyl
CS76897,4MSO
CS76898,Allyl
CS76899,3OHP
CS76900,Allyl
CS76901,Allyl
CS76902,Allyl
CS76903,Allyl
CS76904,3OHP
CS76905,3MSO
CS76906,3OHP
CS76907,Allyl
CS76909,Allyl
CS76910,Allyl
CS76913,Allyl
CS76914,Allyl
CS76915,Allyl
CS76916,3OHP
CS76917,OH-But
CS76918,Allyl
CS76920,OH-But
CS76924,Allyl
CS76925,Allyl
CS76926,Allyl
CS76927,Allyl
CS76928,Allyl
CS76930,Allyl
CS76931,4MSO
CS76932,Allyl
CS76936,Allyl
CS76937,4MSO
CS76938,Allyl
CS76940,OH-But
CS76941,3OHP
CS76942,Allyl
CS76943,Allyl
CS76944,Allyl
CS76945,Allyl
CS76947,OH-But
CS76948,OH-But
CS76950,3OHP
CS76953,3OHP
CS76954,Allyl
CS76956,3OHP
CS76959,Allyl
CS76962,OH-But
CS76963,OH-But
CS76964,Allyl
CS76965,Allyl
CS76966,3OHP
CS76967,3OHP
CS76968,Allyl
CS76969,3OHP
CS76970,4MSO
CS76971,Allyl
CS76974,OH-But
CS76976,3OHP
CS76981,Allyl
CS76982,Allyl
CS76983,OH-But
CS76984,Allyl
CS76990,3OHP
CS76991,3OHP
CS76996,OH-But
CS76997,OH-But
CS76998,OH-But
CS76999,OH-But
CS77000,OH-But
CS77001,OH-But
CS77002,OH-But
CS77003,OH-But
CS77004,3OHP
CS77005,3OHP
CS77006,4OHB
CS77007,3OHP
CS77008,Allyl
CS77009,Allyl
CS77010,Allyl
CS77012,Allyl
CS77013,OH-But
CS77014,OH-But
CS77018,OH-But
CS77019,Allyl
CS77021,3OHP
CS77023,3OHP
CS77024,3OHP
CS77025,3OHP
CS77026,3OHP
CS77028,3OHP
CS77029,Allyl
CS77030,OH-But
CS77032,Allyl
CS77033,Allyl
CS77034,Allyl
CS77035,3OHP
CS77039,Allyl
CS77042,Allyl
CS77044,Allyl
CS77047,4MSO
CS77048,4MSO
CS77052,3MSO
CS77054,Allyl
CS77055,OH-But
CS77056,3OHP
CS77057,Allyl
CS77058,Allyl
CS77059,OH-But
CS77060,4MSO
CS77061,Allyl
CS77062,OH-But
CS77063,OH-But
CS77068,Allyl
CS77069,Allyl
CS77070,Allyl
CS77071,OH-But
CS77072,OH-But
CS77074,OH-But
CS77078,OH-But
CS77079,OH-But
CS77081,Allyl
CS77085,Allyl
CS77086,Allyl
CS77088,Allyl
CS77089,Allyl
CS77090,Allyl
CS77093,Allyl
CS77094,Allyl
CS77095,Allyl
CS77102,Allyl
CS77103,Allyl
CS77104,OH-But
CS77105,OH-But
CS77107,OH-But
CS77108,OH-But
CS77109,Butenyl
CS77113,3OHP
CS77114,Allyl
CS77119,3OHP
CS77121,3OHP
CS77122,Allyl
CS77125,OH-But
CS77126,OH-But
CS77127,OH-But
CS77128,3OHP
CS77129,Allyl
CS77134,OH-But
CS77136,Allyl
CS77140,Allyl
CS77143,OH-But
CS77144,OH-But
CS77145,Allyl
CS77146,Allyl
CS77151,Allyl
CS77152,OH-But
CS77154,Allyl
CS77155,OH-But
CS77156,3MSO
cs77158,Allyl
CS77159,OH-But
CS77161,Allyl
CS77163,Allyl
CS77166,OH-But
CS77167,Allyl
CS77169,OH-But
CS77170,3OHP
CS77171,Allyl
CS77172,3OHP
CS77173,OH-But
CS77174,3OHP
CS77175,Allyl
CS77176,Allyl
CS77177,OH-But
CS77178,Allyl
CS77179,OH-But
CS77181,OH-But
CS77182,3OHP
CS77187,OH-But
cs77189,3OHP
CS77190,Allyl
CS77192,Allyl
CS77194,Allyl
CS77195,Allyl
CS77196,Allyl
CS77197,Allyl
CS77198,Allyl
CS77200,OH-But
CS77201,3MSO
CS77206,OH-But
CS77207,OH-But
CS77208,OH-But
cs77209,OH-But
CS77210,OH-But
CS77211,OH-But
CS77213,Allyl
CS77215,Allyl
CS77216,Allyl
CS77217,Allyl
CS77222,3OHP
CS77223,Allyl
CS77225,Allyl
CS77226,OH-But
CS77229,Allyl
CS77230,OH-But
CS77231,Allyl
CS77232,OH-But
CS77233,4MSO
CS77234,Allyl
CS77236,OH-But
CS77237,OH-But
CS77239,Allyl
CS77240,Allyl
CS77243,Allyl
CS77244,Allyl
CS77246,OH-But
CS77247,4MSO
cs77248,OH-But
CS77251,Allyl
CS77252,Allyl
CS77256,OH-But
CS77257,OH-But
CS77258,Allyl
CS77259,Allyl
CS77263,Allyl
CS77265,Allyl
CS77266,OH-But
CS77267,Allyl
CS77268,3OHP
CS77269,Allyl
CS77270,3OHP
CS77271,Allyl
CS77272,OH-But
CS77273,Allyl
CS77274,Allyl
CS77276,Allyl
CS77279,Allyl
CS77280,Allyl
CS77281,Allyl
CS77283,3OHP
CS77284,Allyl
CS77285,Allyl
CS77287,Allyl
CS77288,Allyl
CS77289,Allyl
CS77290,Allyl
CS77291,Allyl
CS77294,Allyl
CS77296,4MSO
CS77297,Allyl
CS77300,OH-But
CS77301,Allyl
CS77305,Allyl
CS77306,Allyl
CS77307,4MSO
CS77308,Butenyl
CS77310,Butenyl
CS77311,Allyl
CS77316,Allyl
CS77319,4MSO
CS77320,Butenyl
CS77321,3MSO
CS77322,Butenyl
CS77323,4MSO
CS77325,Allyl
CS77326,3MSO
CS77327,4MSO
CS77328,Allyl
CS77330,Allyl
CS77335,Allyl
CS77337,Allyl
CS77339,4MSO
cs77341,Allyl
CS77342,Allyl
CS77344,Allyl
CS77348,Allyl
CS77349,Allyl
CS77350,Allyl
CS77351,3OHP
CS77352,Allyl
CS77353,3OHP
CS77354,3OHP
CS77355,Allyl
CS77357,OH-But
CS77358,Allyl
CS77359,Allyl
CS77361,Allyl
CS77365,Allyl
CS77366,Allyl
CS77370,Allyl
CS77371,Allyl
CS77373,Allyl
CS77374,Allyl
CS77375,Allyl
CS77376,Allyl
CS77377,Allyl
CS77378,Allyl
CS77380,Allyl
CS77381,3OHP
CS77382,OH-But
CS77383,OH-But
CS77384,Allyl
CS77385,OH-But
CS77386,Butenyl
CS77387,OH-But
CS77388,OH-But
CS77391,3OHP
CS77392,Allyl
CS77393,OH-But
CS77394,Allyl
CS77395,3OHP
CS77396,Allyl
CS77397,Allyl
CS77398,Allyl
CS77399,Allyl
CS77636,Allyl
CS77643,3MSO
CS77651,Allyl
CS77906,4MSO
CS77913,Allyl
CS78000,Allyl
CS78009,Allyl
CS78030,4MSO
CS78035,4MSO
CS78039,Allyl
CS78040,Allyl
CS78064,Allyl
CS78079,Allyl
CS78552,Allyl
CS78767,Allyl
CS78768,Allyl
CS78769,Allyl
CS78770,Allyl
CS78774,3OHP
CS78775,3OHP
CS78776,3OHP
CS78777,4MSO
CS78781,OH-But
CS78782,OH-But
CS78783,OH-But
CS78784,Allyl
CS78785,3MSO
CS78786,Allyl
CS78787,4OHB
CS78789,OH-But
CS78790,Allyl
CS78791,3OHP
CS78792,OH-But
CS78794,3MSO
CS78797,OH-But
CS78798,OH-But
CS78799,OH-But
CS78800,3MSO
CS78801,OH-But
CS78802,Allyl
CS78803,OH-But
CS78804,OH-But
CS78805,OH-But
CS78806,OH-But
CS78807,OH-But
CS78808,OH-But
CS78809,OH-But
CS78810,OH-But
CS78811,OH-But
CS78812,OH-But
CS78814,OH-But
CS78815,Allyl
CS78816,Allyl
CS78817,3OHP
CS78818,Allyl
CS78819,Allyl
CS78820,4MSO
CS78821,OH-But
CS78823,Allyl
CS78824,OH-But
CS78825,Allyl
CS78826,OH-But
CS78827,Allyl
CS78828,OH-But
CS78830,Allyl
CS78831,Allyl
CS78832,Allyl
CS78833,3OHP
CS78835,OH-But
CS78836,Allyl
CS78837,Allyl
CS78838,Allyl
CS78839,4MSO
CS78840,Allyl
CS78841,OH-But
CS78842,OH-But
CS78843,Allyl
CS78844,Allyl
cs78845,Allyl
CS78846,4MSO
CS78847,3OHP
CS78848,OH-But
CS78849,Allyl
CS78850,Allyl
CS78852,3OHP
CS78854,OH-But
CS78855,3OHP
CS78856,3OHP
CS78858,3OHP
CS78861,3OHP
CS78862,3OHP
CS78864,OH-But
CS78865,OH-But
CS78866,OH-But
CS78867,OH-But
CS78868,OH-But
CS78870,Allyl
CS78871,OH-But
CS78873,3OHP
CS78875,3OHP
CS78876,3OHP
CS78877,3OHP
CS78878,OH-But
CS78879,Allyl
CS78880,OH-But
CS78881,Allyl
CS78882,Allyl
CS78886,OH-But
CS78888,OH-But
CS78890,Allyl
CS78891,Allyl
CS78892,Allyl
CS78893,Allyl
CS78894,OH-But
CS78895,OH-But
CS78896,Allyl
CS78897,3OHP
CS78898,Allyl
CS78901,OH-But
CS78903,Allyl
CS78904,OH-But
CS78907,Allyl
CS78909,Allyl
CS78910,Allyl
CS78914,OH-But
CS78915,3MSO
CS78916,3OHP
CS78920,3MSO
CS78923,Allyl
CS78924,Allyl
CS78926,Butenyl
CS78927,Allyl
CS78928,Allyl
CS78929,Allyl
CS78930,Allyl
CS78931,Allyl
CS78939,3OHP
CS78940,3OHP
CS78941,3OHP
